Source,Target,Number of samples,Correlation,Method,ROI,Image index
sub01,sub02,6000,0.011057719681001133,brain_loss,HVC,6.0
sub01,sub02,6000,0.014239687868186333,brain_loss,HVC,7.0
sub01,sub02,6000,0.010753862115953729,brain_loss,HVC,8.0
sub01,sub02,6000,0.02834987176076366,brain_loss,HVC,9.0
sub01,sub02,6000,0.015078093294253034,brain_loss,HVC,10.0
sub01,sub02,6000,0.010274296282401348,brain_loss,HVC,11.0
sub01,sub02,6000,0.0061548235949047325,brain_loss,HVC,12.0
sub01,sub02,6000,0.027701184005370912,brain_loss,HVC,13.0
sub01,sub02,6000,0.01400059165006672,brain_loss,HVC,14.0
sub01,sub02,6000,0.03596160666449152,brain_loss,HVC,15.0
sub01,sub02,6000,0.014313914194373504,brain_loss,HVC,16.0
sub01,sub02,6000,0.012866966225251216,brain_loss,HVC,17.0
sub01,sub02,6000,0.011090721665333833,brain_loss,HVC,18.0
sub01,sub02,6000,0.013288142497946277,brain_loss,HVC,19.0
sub01,sub02,6000,0.0050634005521975846,brain_loss,HVC,20.0
sub01,sub02,6000,0.004046204397051308,brain_loss,HVC,21.0
sub01,sub02,6000,0.054861289748385486,brain_loss,HVC,22.0
sub01,sub02,6000,0.021175822590835242,brain_loss,HVC,23.0
sub01,sub02,6000,0.005248295517528485,brain_loss,HVC,24.0
sub01,sub02,6000,0.011967209079512042,brain_loss,HVC,25.0
sub01,sub02,6000,0.004031343666864338,brain_loss,HVC,26.0
sub01,sub02,6000,0.03644432907376665,brain_loss,HVC,27.0
sub01,sub02,6000,0.006069491301517963,brain_loss,HVC,28.0
sub01,sub02,6000,0.004890985362433541,brain_loss,HVC,29.0
sub01,sub02,6000,0.018561400063262696,brain_loss,HVC,30.0
sub01,sub02,6000,0.018048890854906866,brain_loss,HVC,31.0
sub01,sub02,6000,0.03427724017775192,brain_loss,HVC,32.0
sub01,sub02,6000,0.016730511386174502,brain_loss,HVC,33.0
sub01,sub02,6000,0.011848542207211904,brain_loss,HVC,34.0
sub01,sub02,6000,0.0022581019689632007,brain_loss,HVC,35.0
sub01,sub02,6000,0.01896794765146848,brain_loss,HVC,36.0
sub01,sub02,6000,0.015471740415990344,brain_loss,HVC,37.0
sub01,sub02,6000,0.0386783504573173,brain_loss,HVC,38.0
sub01,sub02,6000,0.006429836871516794,brain_loss,HVC,39.0
sub01,sub02,6000,0.012622223788735525,brain_loss,HVC,40.0
sub01,sub02,6000,0.01801846502548892,brain_loss,HVC,41.0
sub01,sub02,6000,0.013866699512201427,brain_loss,HVC,42.0
sub01,sub02,6000,0.007254859760918146,brain_loss,HVC,43.0
sub01,sub02,6000,0.016301836477551644,brain_loss,HVC,44.0
sub01,sub02,6000,0.022905712990246636,brain_loss,HVC,45.0
