Source,Target,Number of samples,Identification accuracy,Method,ROI,Layer
sub04,sub01,6000,0.7722448979591837,content_loss,VC,conv1
sub04,sub01,6000,0.9706122448979592,content_loss,VC,conv2
sub04,sub01,6000,0.9951020408163265,content_loss,VC,conv3
sub04,sub01,6000,0.9934693877551021,content_loss,VC,conv4
sub04,sub01,6000,0.9955102040816327,content_loss,VC,conv5
sub04,sub01,6000,0.9779591836734692,content_loss,VC,fc6
sub04,sub01,6000,0.9755102040816327,content_loss,VC,relu6
sub04,sub01,6000,0.9648979591836735,content_loss,VC,fc7
sub04,sub01,6000,0.9616326530612244,content_loss,VC,relu7
sub04,sub01,6000,0.949795918367347,content_loss,VC,fc8
sub04,sub02,6000,0.7881632653061226,content_loss,VC,conv1
sub04,sub02,6000,0.9730612244897959,content_loss,VC,conv2
sub04,sub02,6000,0.9955102040816327,content_loss,VC,conv3
sub04,sub02,6000,0.993061224489796,content_loss,VC,conv4
sub04,sub02,6000,0.9963265306122451,content_loss,VC,conv5
sub04,sub02,6000,0.9746938775510204,content_loss,VC,fc6
sub04,sub02,6000,0.9751020408163265,content_loss,VC,relu6
sub04,sub02,6000,0.9604081632653062,content_loss,VC,fc7
sub04,sub02,6000,0.9542857142857144,content_loss,VC,relu7
sub04,sub02,6000,0.9514285714285714,content_loss,VC,fc8
sub04,sub03,6000,0.7848979591836734,content_loss,VC,conv1
sub04,sub03,6000,0.9763265306122448,content_loss,VC,conv2
sub04,sub03,6000,0.9934693877551021,content_loss,VC,conv3
sub04,sub03,6000,0.9938775510204081,content_loss,VC,conv4
sub04,sub03,6000,0.9955102040816327,content_loss,VC,conv5
sub04,sub03,6000,0.9779591836734695,content_loss,VC,fc6
sub04,sub03,6000,0.9795918367346939,content_loss,VC,relu6
sub04,sub03,6000,0.9628571428571427,content_loss,VC,fc7
sub04,sub03,6000,0.9595918367346941,content_loss,VC,relu7
sub04,sub03,6000,0.949795918367347,content_loss,VC,fc8
sub04,sub05,6000,0.7677551020408164,content_loss,VC,conv1
sub04,sub05,6000,0.9730612244897959,content_loss,VC,conv2
sub04,sub05,6000,0.9934693877551021,content_loss,VC,conv3
sub04,sub05,6000,0.9946938775510205,content_loss,VC,conv4
sub04,sub05,6000,0.9959183673469388,content_loss,VC,conv5
sub04,sub05,6000,0.9844897959183675,content_loss,VC,fc6
sub04,sub05,6000,0.9861224489795919,content_loss,VC,relu6
sub04,sub05,6000,0.9742857142857143,content_loss,VC,fc7
sub04,sub05,6000,0.966938775510204,content_loss,VC,relu7
sub04,sub05,6000,0.9518367346938775,content_loss,VC,fc8
sub05,sub01,6000,0.7563265306122449,content_loss,VC,conv1
sub05,sub01,6000,0.9318367346938775,content_loss,VC,conv2
sub05,sub01,6000,0.9579591836734693,content_loss,VC,conv3
sub05,sub01,6000,0.9591836734693878,content_loss,VC,conv4
sub05,sub01,6000,0.9685714285714286,content_loss,VC,conv5
sub05,sub01,6000,0.956734693877551,content_loss,VC,fc6
sub05,sub01,6000,0.9624489795918368,content_loss,VC,relu6
sub05,sub01,6000,0.9653061224489796,content_loss,VC,fc7
sub05,sub01,6000,0.9530612244897958,content_loss,VC,relu7
sub05,sub01,6000,0.9448979591836735,content_loss,VC,fc8
sub05,sub02,6000,0.7542857142857143,content_loss,VC,conv1
sub05,sub02,6000,0.9489795918367347,content_loss,VC,conv2
sub05,sub02,6000,0.9787755102040815,content_loss,VC,conv3
sub05,sub02,6000,0.9702040816326531,content_loss,VC,conv4
sub05,sub02,6000,0.9681632653061224,content_loss,VC,conv5
sub05,sub02,6000,0.9583673469387756,content_loss,VC,fc6
sub05,sub02,6000,0.9591836734693878,content_loss,VC,relu6
sub05,sub02,6000,0.9555102040816327,content_loss,VC,fc7
sub05,sub02,6000,0.9551020408163267,content_loss,VC,relu7
sub05,sub02,6000,0.9281632653061223,content_loss,VC,fc8
sub05,sub03,6000,0.6995918367346938,content_loss,VC,conv1
sub05,sub03,6000,0.9318367346938775,content_loss,VC,conv2
sub05,sub03,6000,0.9710204081632654,content_loss,VC,conv3
sub05,sub03,6000,0.9648979591836735,content_loss,VC,conv4
sub05,sub03,6000,0.9685714285714286,content_loss,VC,conv5
sub05,sub03,6000,0.9583673469387756,content_loss,VC,fc6
sub05,sub03,6000,0.9620408163265306,content_loss,VC,relu6
sub05,sub03,6000,0.9546938775510205,content_loss,VC,fc7
sub05,sub03,6000,0.9526530612244898,content_loss,VC,relu7
sub05,sub03,6000,0.929387755102041,content_loss,VC,fc8
sub05,sub04,6000,0.6983673469387756,content_loss,VC,conv1
sub05,sub04,6000,0.9383673469387755,content_loss,VC,conv2
sub05,sub04,6000,0.9730612244897959,content_loss,VC,conv3
sub05,sub04,6000,0.9681632653061224,content_loss,VC,conv4
sub05,sub04,6000,0.9661224489795919,content_loss,VC,conv5
sub05,sub04,6000,0.9481632653061225,content_loss,VC,fc6
sub05,sub04,6000,0.9424489795918367,content_loss,VC,relu6
sub05,sub04,6000,0.9502040816326531,content_loss,VC,fc7
sub05,sub04,6000,0.9457142857142855,content_loss,VC,relu7
sub05,sub04,6000,0.9371428571428573,content_loss,VC,fc8
