Source,Target,Number of samples,Profile correlation,Pattern correlation,Identification accuracy,Method,ROI,Layer
sub02,sub04,6000,0.20178652611219247,0.21481544899120528,0.9783673469387755,content_loss,VC,conv3_2
sub02,sub04,6000,0.18015773127166357,0.19375992393635655,0.9232653061224488,content_loss,VC,conv3_1
sub02,sub04,6000,0.1032960184154727,0.11718134321882237,0.9004081632653061,content_loss,VC,conv2_2
sub02,sub04,6000,0.17839699570323522,0.19686414560960366,0.8885714285714285,content_loss,VC,conv2_1
sub02,sub04,6000,0.17182796890090993,0.2020469326499506,0.790204081632653,content_loss,VC,conv1_2
sub02,sub04,6000,0.2082201355051725,0.2367012138859122,0.823673469387755,content_loss,VC,conv1_1
sub02,sub05,6000,0.5101349213776588,0.5042210103198468,0.946530612244898,content_loss,VC,fc8
sub02,sub05,6000,0.33852423954725214,0.35588123905515234,0.9779591836734695,content_loss,VC,fc7
sub02,sub05,6000,0.3707508918140997,0.36563922039897856,0.9787755102040816,content_loss,VC,fc6
sub02,sub05,6000,0.3112015053544212,0.27397709757139965,0.9763265306122448,content_loss,VC,conv5_4
sub02,sub05,6000,0.3185060225980125,0.31483114609550056,0.9926530612244897,content_loss,VC,conv5_3
sub02,sub05,6000,0.3263576517155852,0.32890999171836116,0.993061224489796,content_loss,VC,conv5_2
sub02,sub05,6000,0.3213041255762409,0.3275017320822182,0.9971428571428572,content_loss,VC,conv5_1
sub02,sub05,6000,0.25557761319302763,0.24706325384483957,0.9955102040816327,content_loss,VC,conv4_4
sub02,sub05,6000,0.24758235666775888,0.25660221930644395,0.9963265306122449,content_loss,VC,conv4_3
sub02,sub05,6000,0.2803644539824379,0.29934246959259864,0.993061224489796,content_loss,VC,conv4_2
sub02,sub05,6000,0.30338087112576106,0.3205309676528562,0.9959183673469388,content_loss,VC,conv4_1
sub02,sub05,6000,0.22865178120602456,0.23804710017208194,0.9706122448979592,content_loss,VC,conv3_4
sub02,sub05,6000,0.2543703962484697,0.2549597438199005,0.9759183673469388,content_loss,VC,conv3_3
